Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.6365E-05,0.12885,-0.50375,0,0,0,5260.29,514787000000,76545660,-152720,1158280000000,-34080623440,684276000000,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/base_link.STL,,Aircraft_Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
motor_1,1.8619E-08,0.0054745,-6.6772E-07,0,0,0,0.0048824,2.0132E-05,-1.4938E-13,9.2457E-07,2.0296E-05,-2.8276E-13,1.9619E-07,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_1.STL,0.49412,0.49412,0.49412,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_1.STL,,PROP 10 x 4.7 P-4,Origin_motor_1,Axis_motor_1,motor_1_joint,revolute,-0.35935,0.28363,0.23968,1.5708,0,1.7806,base_link,0,1,0,0,0,0,0,,,,,,,,
motor_2,3.6051E-10,0.0054745,2.6263E-09,0,0,0,0.0048824,2.0132E-05,6.4409E-15,9.2458E-07,2.0296E-05,4.7163E-14,1.9619E-07,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_2.STL,0.49412,0.49412,0.49412,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_2.STL,,PROP 10 x 4.7 P-2,Origin_motor_2,Axis_motor_2,motor_2_joint,revolute,0.35935,0.28363,0.23968,1.5708,0,2.6481,base_link,0,1,0,0,0,0,0,,,,,,,,
motor_3,-1.8643E-08,0.0054745,6.6754E-07,0,0,0,0.0048824,2.0132E-05,1.4908E-13,9.2465E-07,2.0296E-05,2.8112E-13,1.962E-07,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_3.STL,0.49412,0.49412,0.49412,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_3.STL,,PROP 10 x 4.7 P-1,Origin_motor_3,Axis_motor_3,motor_3_joint,revolute,0.35935,0.83392,0.23968,1.5708,0,2.7896,base_link,0,1,0,0,0,0,0,,,,,,,,
motor_4,6.4855E-08,0.0054745,6.5904E-08,0,0,0,0.0048824,2.0132E-05,4.254E-13,9.2462E-07,2.0296E-05,-1.6876E-12,1.962E-07,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_4.STL,0.49412,0.49412,0.49412,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_4.STL,,PROP 10 x 4.7 P-3,Origin_motor_4,Axis_motor_4,motor_4_joint,revolute,-0.35935,0.83392,0.23968,1.5708,0,-2.2362,base_link,0,1,0,0,0,0,0,,,,,,,,
motor_5,-2.3972E-11,0.0054745,-1.7397E-10,0,0,0,0.0048823,2.0132E-05,-3.0781E-16,9.2456E-07,2.0295E-05,-1.6139E-15,1.9619E-07,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_5.STL,0.49412,0.49412,0.49412,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_5.STL,,PROP 10 x 4.7 P-8,Origin_motor_5,Axis_motor_5,motor_5_joint,revolute,0.67935,0.28363,0.23968,1.5708,0,2.7896,base_link,0,1,0,0,0,0,0,,,,,,,,
motor_6,-1.0394E-07,0.0054745,1.2568E-06,0,0,0,0.0048824,2.0132E-05,-1.6107E-13,9.2462E-07,2.0296E-05,2.0205E-12,1.962E-07,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_6.STL,0.49412,0.49412,0.49412,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_6.STL,,PROP 10 x 4.7 P-6,Origin_motor_6,Axis_motor_6,motor_6_joint,revolute,-0.67985,0.28363,0.23968,1.5708,0,-2.3392,base_link,0,1,0,0,0,0,0,,,,,,,,
motor_7,-8.4037E-08,0.0054745,5.9805E-07,0,0,0,0.0048825,2.0132E-05,-2.8647E-13,9.2462E-07,2.0296E-05,2.0534E-12,1.962E-07,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_7.STL,0.49412,0.49412,0.49412,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_7.STL,,PROP 10 x 4.7 P-5,Origin_motor_7,Axis_motor_7,motor_7_joint,revolute,-0.67985,0.83392,0.23968,1.5708,0,1.8808,base_link,0,1,0,0,0,0,0,,,,,,,,
motor_8,3.84480225434913E-10,0.005474478365479,2.80021761334126E-09,0,0,0,0.004882485314257,2.01327899926299E-05,6.74865407710483E-15,9.24660696074812E-07,2.02966094872409E-05,4.87763759161582E-14,1.96200454476914E-07,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_8.STL,0.494117647058824,0.494117647058824,0.494117647058824,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/motor_8.STL,,PROP 10 x 4.7 P-7,Origin_motor_8,Axis_motor_8,motor_8_joint,revolute,0.67935,0.83392,0.23968,1.5708,0,2.7896,base_link,0,1,0,0,0,0,0,,,,,,,,
cruise_motor,3.6051E-10,-0.0054311,2.6263E-09,0,0,0,0.0048824,2.0132E-05,6.4408E-15,9.2458E-07,2.0296E-05,4.7163E-14,1.9619E-07,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/cruise_motor.STL,0.49412,0.49412,0.49412,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/cruise_motor.STL,,PROP 10 x 4.7 P-9,Origin_cruise_motor,Axis_cruise_motor,cruise_motor_joint,revolute,0,1.4624,0.1585,3.1416,-0.97948,0,base_link,0,1,0,0,0,0,0,,,,,,,,
aileron_right,0.000359429626028,-0.007922800433596,-0.25807892576358,0,0,0,0.000477234933528,2.19976884447218E-09,3.40084968517089E-09,5.86757159837328E-19,2.05168737623326E-08,-7.70638457316328E-19,2.23984858895856E-08,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/aileron_right.STL,0.772549019607843,0.752941176470588,0.733333333333333,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/aileron_right.STL,,Aileron-3,Origin_aileron_right,Axis_aileron_right,aileron_right_joint,revolute,-0.45216,0.65442,0.20642,1.5699,0.015027,1.5726,base_link,0.057465,0,0.99835,0,0,0,0,,,,,,,,
aileron_left,9.8636E-05,-0.0079228,0.26261,0,0,0,0.00047723,2.1998E-09,3.4008E-09,-4.0722E-19,2.0517E-08,5.1609E-19,2.2398E-08,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/aileron_left.STL,0.77255,0.75294,0.73333,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/aileron_left.STL,,Aileron_Right-1,Origin_aileron_left,Axis_aileron_left,aileron_left_joint,revolute,0.44556,0.65481,0.20642,1.5808,0.17275,1.5699,base_link,0.057465,0,-0.99835,0,0,0,0,,,,,,,,
elevator,0.020432854418892,-0.001974884355017,5.86160068176164E-15,0,0,0,0.047357928657147,0.000345850971992,4.17697374302898E-07,-2.75413791250375E-20,0.000352096502918,1.30635602608801E-19,6.3329578705762E-06,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/elevator.STL,0.580392156862745,0.886274509803922,0.862745098039216,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/elevator.STL,,Elevator-1,Origin_elevator,Axis_elevator,elevator_joint,revolute,0,1.3739,0.17,1.5708,0.040426,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
rudder,0.003982965381119,0.117786619293133,-0.000428313690818,0,0,0,0.005195522707905,2.32455549928391E-05,1.25670300101702E-08,1.79671302680659E-08,5.69043771637136E-08,-5.09533985704648E-09,2.32380324433504E-05,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/rudder.STL,0.580392156862745,0.886274509803922,0.862745098039216,1,0,0,0,0,0,0,package://leap_vtol_mk3/meshes/rudder.STL,,Rudder-1,Origin_rudder,Axis_rudder,rudder_joint,revolute,0,1.3287,0.17556,1.5708,0.00041301,1.6252,base_link,0.00041301,-1,0,0,0,0,0,,,,,,,,
